Restaurant,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Sears Fine Food,[],"[[960, 1215]]","[[1035, 1335]]",[],"[[375, 1260]]","[[510, 840]]",[]
The Big 4,[],"[[750, 1305]]",[],"[[780, 1125]]","[[720, 1410]]","[[615, 1260]]","[[450, 750]]"
The Bear & The Monarch,"[[0, 210]]","[[615, 1440]]","[[0, 210]]",[],[],"[[795, 1440]]","[[0, 90], [615, 1440]]"
The Marine Room,"[[570, 1350]]","[[810, 1320]]","[[945, 1440]]","[[810, 1320], [0, 225]]","[[960, 1440]]","[[810, 1320], [0, 120]]","[[645, 795]]"
The Patio,"[[930, 1215]]","[[585, 1440]]","[[0, 225], [1050, 1440]]","[[0, 180], [555, 675]]",[],"[[495, 1095]]","[[600, 690]]"
The Smoking Goat,"[[855, 1200]]",[],"[[1005, 1215]]","[[600, 1110]]",[],"[[975, 1155]]","[[450, 825]]"
Top of the Market,"[[480, 585], [0, 105]]","[[465, 1170]]","[[900, 1440]]","[[0, 165], [990, 1440]]","[[0, 105], [720, 1440]]","[[0, 165], [975, 1275]]","[[990, 1440]]"
Zuma,[],"[[765, 780]]","[[330, 1440]]","[[765, 780], [0, 75]]","[[945, 1110]]","[[780, 1155]]","[[360, 1425]]"
13 Coins,"[[1020, 1350]]","[[1020, 1125]]",[],"[[915, 1440]]","[[0, 225], [555, 645]]","[[1020, 1125]]","[[645, 945]]"
Basic Kneads Pizza,[],"[[780, 1320]]","[[990, 1095]]","[[495, 540]]","[[1050, 1440]]","[[0, 225], [870, 1440]]","[[0, 765]]"
Burger Lounge,"[[1050, 1140]]","[[630, 1170]]","[[1050, 1140]]","[[795, 855]]","[[495, 1440]]","[[795, 855], [0, 90]]","[[585, 750]]"
Chops & Hops,"[[615, 705]]","[[600, 750]]",[],"[[1020, 1230]]","[[705, 1125]]","[[750, 1440]]","[[0, 120], [405, 900]]"
Dragon Eats,"[[765, 1320]]","[[780, 1050]]","[[345, 765]]","[[900, 1095]]","[[780, 1020]]","[[345, 765]]","[[780, 1050]]"
Eight AM,[],"[[480, 855]]","[[300, 1155]]",[],"[[780, 1365]]","[[300, 1155]]","[[960, 1170]]"
En Thai Sing,"[[1005, 1440], [0, 135]]","[[0, 765], [705, 1440]]","[[0, 135]]","[[360, 1440]]","[[0, 105], [435, 1365]]","[[945, 1170]]","[[705, 1440]]"
Fiddler’s Green,[],[],"[[1020, 1170]]","[[825, 1440]]","[[0, 195]]","[[375, 825]]","[[810, 1380]]"
Girl & the Goat,[],"[[360, 810]]","[[525, 795]]","[[630, 1230]]",[],"[[855, 1440]]","[[0, 90], [690, 840]]"
Jar + Fork,[],"[[960, 1020]]",[],"[[345, 870]]","[[405, 1440]]","[[0, 60], [630, 1440]]","[[0, 150], [690, 1410]]"
Juan in a Million,"[[0, 210]]","[[810, 1440]]","[[0, 165], [585, 1245]]","[[810, 1440]]","[[0, 165], [885, 1440]]","[[810, 1440], [0, 165]]","[[0, 165], [555, 1440]]"
Lox Stock & Bagel,"[[405, 720]]","[[1050, 1395]]","[[480, 1020]]","[[615, 1020]]","[[690, 1320]]","[[870, 1320]]","[[900, 1050]]"
Meat U There,"[[450, 735]]","[[1050, 1440]]","[[0, 75]]","[[330, 1440]]","[[0, 180], [645, 1125]]","[[870, 1155]]","[[360, 510]]"
Old Town Mexican Cafe,[],"[[450, 765]]","[[495, 765]]","[[825, 1440]]","[[0, 165], [825, 1440]]","[[0, 210], [450, 720]]",[]
One Market Restaurant,"[[855, 1440], [0, 165]]","[[0, 105], [795, 1080]]","[[300, 390]]","[[1035, 1440]]","[[0, 180], [465, 735]]","[[945, 1320]]","[[540, 1440]]"
Pig’N Pancake,"[[480, 720]]","[[675, 960]]","[[480, 720]]","[[900, 1440]]","[[0, 210], [690, 810]]",[],"[[660, 750]]"
Planet of the Grapes,"[[660, 1440]]","[[0, 135], [705, 840]]","[[510, 1365]]","[[585, 870]]","[[660, 1440]]","[[0, 135]]","[[420, 1380]]"
PM Fish & Steak House,[],"[[615, 780]]","[[1065, 1320]]","[[810, 1335]]","[[810, 1440]]","[[1065, 1320], [0, 90]]","[[750, 840]]"
Project Juice,[],"[[975, 1440]]","[[0, 105]]","[[645, 735]]","[[885, 1035]]","[[450, 735]]",[]
Shaker + Spear,"[[735, 1035], [0, 135]]","[[1020, 1245]]","[[645, 975]]","[[1020, 1245]]","[[645, 780]]","[[1020, 1245]]","[[960, 1440]]"
Smoque BBQ,[],"[[690, 960]]","[[1005, 1320]]","[[510, 705]]","[[660, 1260]]","[[1005, 1320]]","[[840, 1095]]"
Soon Fatt,"[[795, 885]]","[[885, 1440]]","[[0, 60], [615, 1185]]","[[900, 1440]]","[[0, 195], [885, 1440]]","[[0, 150], [1050, 1440]]","[[0, 60]]"
Thai Tanic,"[[480, 600]]","[[600, 1440]]","[[480, 600], [0, 225]]","[[900, 1440]]","[[0, 135], [450, 720]]","[[990, 1110]]","[[660, 750]]"
The Chocolate Log,"[[375, 1440]]","[[0, 105], [510, 1095]]","[[450, 720]]",[],"[[825, 1365]]","[[480, 585]]","[[510, 1080]]"
The Lost Kitchen,"[[870, 1440], [0, 225]]","[[0, 165], [600, 855]]","[[870, 1440]]","[[0, 165], [855, 1410]]","[[375, 1440]]","[[0, 90], [735, 1440]]","[[0, 180], [300, 1440]]"
The Pink Door,[],"[[885, 1440]]","[[0, 90], [660, 735]]","[[615, 1065]]","[[660, 735]]","[[615, 1125]]","[[300, 1125]]"
The Purple Pig,"[[705, 795]]","[[930, 990]]","[[705, 795]]",[],"[[420, 915]]","[[570, 660]]","[[420, 915]]"
Three…,[],[],"[[1035, 1125]]","[[1065, 1440]]","[[0, 165], [420, 1200]]","[[855, 1440]]","[[0, 90], [480, 1095]]"
Toro Toro Restaurant,"[[1050, 1335], [0, 165]]","[[585, 990]]","[[855, 1215]]","[[465, 1185]]","[[1065, 1440]]","[[0, 165], [495, 585]]","[[1065, 1440]]"
3 Way Restaurant,"[[420, 540]]","[[300, 1140]]","[[780, 1140]]","[[420, 540]]","[[525, 750]]","[[405, 795]]","[[615, 855]]"
Bite Me Sandwiches,"[[405, 660]]","[[1020, 1440]]","[[405, 660], [0, 180]]","[[1020, 1440]]","[[0, 180], [870, 1305]]","[[315, 1170]]","[[660, 1350]]"
Blue Mermaid,"[[525, 1110]]",[],"[[315, 750]]","[[735, 1125]]","[[375, 1215]]","[[525, 1110]]","[[315, 750]]"
Burma Love,"[[870, 1440]]","[[0, 75], [525, 1230]]","[[555, 1260]]",[],"[[780, 1230]]","[[870, 1440]]","[[0, 75], [765, 960]]"
Cat Heads BBQ,"[[885, 1440]]","[[0, 90], [600, 990]]","[[975, 1185]]","[[915, 1305]]","[[960, 1095]]",[],"[[300, 720]]"
Cutters Crabhouse,"[[630, 1425]]","[[990, 1440]]","[[0, 60], [1035, 1440]]","[[0, 750], [1050, 1440]]","[[0, 210], [330, 795]]","[[630, 1425]]","[[540, 750]]"
Eatmore Fried Chicken,"[[990, 1320]]","[[1035, 1215]]",[],"[[360, 1440]]","[[0, 60], [390, 1080]]","[[900, 1440]]","[[0, 120]]"
Fishcotheque,"[[870, 1170]]",[],[],"[[1065, 1125]]","[[330, 360]]","[[885, 1170]]","[[885, 1140]]"
Great Eastern Restaurant,"[[450, 1440]]","[[0, 90], [660, 1005]]","[[735, 1350]]","[[735, 1380]]","[[660, 1005]]","[[1035, 1260]]","[[735, 1380]]"
Hillstone,[],"[[585, 1440]]","[[0, 195], [375, 975]]","[[795, 1365]]","[[1035, 1260]]","[[555, 1350]]","[[1035, 1200]]"
Island Prime,"[[825, 1245]]","[[615, 1035]]","[[825, 1245]]","[[840, 1410]]","[[990, 1035]]","[[540, 1260]]","[[600, 915]]"
Lettuce Eat,"[[510, 660]]","[[660, 1440]]","[[0, 225], [735, 870]]","[[1050, 1275]]","[[870, 1125]]","[[960, 1110]]","[[405, 840]]"
Little Sheep,"[[660, 1440]]","[[0, 105]]","[[870, 1215]]","[[765, 765]]","[[315, 570]]","[[840, 1440]]","[[0, 765], [300, 780]]"
Lord of the Fries,"[[390, 1260], [0, 60]]","[[495, 1440]]","[[0, 105], [525, 660]]","[[495, 1440]]","[[0, 105], [1035, 1440]]","[[0, 60], [345, 1215]]","[[1035, 1440]]"
Metro Cafe,"[[480, 825]]","[[1050, 1440]]","[[0, 195], [480, 1320]]","[[870, 1125]]","[[900, 1005]]","[[480, 825]]","[[900, 1005]]"
Ocean Star,[],"[[780, 855]]","[[690, 765]]","[[780, 855]]","[[690, 765]]",[],[]
Oasis Fried Chicken,"[[945, 1290]]",[],"[[630, 1170]]","[[585, 1440]]","[[0, 90], [540, 990]]","[[375, 1005]]",[]
Party Fowl,"[[540, 870], [0, 90]]","[[750, 885]]",[],"[[405, 765]]","[[915, 1140]]","[[690, 1380]]","[[660, 1440]]"
Peking Inn,"[[525, 585], [0, 120]]","[[915, 1350]]","[[840, 1155]]","[[525, 585]]","[[480, 975]]","[[330, 825]]","[[615, 1440]]"
Phat Phuc Noodle Bar,"[[0, 225]]","[[840, 1200]]","[[810, 1125]]",[],"[[345, 960]]","[[840, 1200]]","[[570, 1440]]"
Pu Pu Hot Pot,"[[0, 765]]","[[450, 1005]]","[[1050, 1425]]","[[1005, 1320]]","[[450, 1005]]","[[585, 720]]","[[780, 1440]]"
Shuckers Restaurant,[],"[[645, 960]]",[],"[[450, 1110]]","[[375, 1305]]","[[360, 1440]]","[[0, 75], [525, 570]]"
Single Shot,"[[930, 1275]]",[],"[[690, 1440]]","[[0, 120], [660, 750]]","[[405, 750]]","[[930, 1275]]","[[690, 780]]"
Staple & Fancy,[],"[[720, 1080]]","[[705, 1425]]","[[555, 1020]]","[[720, 1080]]","[[555, 1020]]","[[720, 1185]]"
Thai Me Up,"[[360, 1440]]","[[0, 165], [945, 1440]]","[[360, 1440], [0, 90]]","[[0, 165], [750, 1260]]","[[360, 630]]","[[750, 1440]]","[[750, 1260], [0, 195]]"
Thai The Knot,"[[825, 975]]","[[840, 1440]]","[[0, 75], [945, 975]]","[[495, 1440]]","[[0, 75], [480, 705]]","[[945, 975]]","[[900, 1320]]"
The Chef in the Hat,"[[345, 1215]]","[[495, 1320]]","[[345, 1215]]","[[1035, 1155]]","[[870, 1440]]","[[0, 195], [840, 1425]]","[[1035, 1155]]"
The Golden Stool,"[[390, 1440], [0, 165]]","[[0, 105], [735, 1410]]","[[525, 1395]]","[[345, 840]]","[[615, 915]]","[[525, 1395]]","[[750, 1440]]"
The Poke Co.,"[[960, 1395]]",[],"[[885, 1080]]","[[420, 1440]]","[[0, 210], [990, 1440]]","[[0, 180], [660, 1245]]",[]
The Slanted Door,"[[705, 1320]]","[[765, 1275]]","[[855, 1440]]","[[0, 720], [915, 1440]]","[[765, 1275], [0, 75]]","[[360, 720]]","[[765, 1275]]"
Wok This Way,"[[1020, 1245]]","[[795, 1185]]","[[975, 1125]]","[[420, 1320]]","[[300, 900]]","[[795, 1185]]","[[420, 1320]]"
Bankers Hill,"[[540, 750]]","[[300, 570]]","[[705, 1440]]","[[0, 60], [930, 1170]]","[[660, 735]]","[[540, 750]]","[[840, 1005]]"
Barefoot Bar & Grill,[],"[[1020, 1260]]","[[825, 1440]]","[[0, 150], [315, 1440]]","[[0, 135]]","[[780, 855]]","[[330, 495]]"
Bask,"[[960, 1290]]","[[750, 1395]]","[[825, 1140]]","[[960, 1290]]","[[660, 1350]]","[[525, 555]]","[[1005, 1095]]"
Cloak & Petal,"[[570, 690], [0, 150]]","[[300, 495]]",[],[],"[[750, 1440]]","[[0, 720], [945, 1080]]","[[855, 1440]]"
Corridor,"[[870, 1290]]","[[1035, 1410]]","[[540, 1290]]","[[1035, 1410]]","[[750, 1080]]","[[870, 1290]]","[[750, 1080]]"
Duke’s Seafood,"[[705, 780]]","[[990, 1275]]","[[1020, 1185]]","[[645, 1440]]","[[0, 75], [630, 1290]]","[[1020, 1185]]",[]
Emerald Grill,"[[1020, 1230], [0, 210]]","[[465, 1440]]","[[0, 210], [555, 1185]]","[[840, 1425]]","[[570, 600]]","[[555, 1185]]","[[465, 1440]]"
Fog City,"[[780, 1440]]","[[0, 750], [945, 1065]]","[[780, 1440]]","[[0, 750], [795, 840]]","[[990, 1320]]","[[300, 1125]]","[[585, 600]]"
Green Leaf,"[[975, 1155]]","[[1050, 1290]]","[[840, 1110]]","[[330, 1245]]","[[390, 705]]","[[945, 1290]]","[[840, 1110]]"
Harbor House Restaurant,[],"[[600, 885]]",[],[],"[[1050, 1245]]","[[435, 810]]","[[720, 1200]]"
Hollywood Cafe,"[[435, 525]]","[[1050, 1260]]","[[435, 1440]]","[[0, 150], [570, 1125]]","[[1050, 1260]]","[[645, 1215]]","[[345, 1215]]"
Just Falafs,"[[375, 630]]","[[360, 735]]","[[810, 1110]]",[],"[[465, 1290]]","[[390, 1305]]","[[435, 780]]"
Lionfish,"[[660, 1200]]","[[660, 1005]]","[[615, 1200]]","[[900, 1020]]","[[630, 855]]","[[1035, 1425]]","[[885, 1290]]"
Maza Grill Kabob,"[[510, 570]]","[[1065, 1095]]",[],"[[690, 1140]]","[[1035, 1230]]","[[630, 1155]]","[[810, 960]]"
Mister A’s,"[[810, 930]]","[[420, 735]]",[],[],"[[735, 1365]]","[[840, 1095]]","[[735, 1275]]"
Palomino,"[[0, 165]]","[[330, 1365]]",[],"[[870, 1440]]","[[0, 150], [330, 1365]]","[[780, 1290]]","[[990, 1440]]"
Poke Life,[],"[[465, 975]]","[[870, 1440]]","[[0, 165], [795, 1110]]","[[495, 840]]","[[765, 1440]]","[[0, 105], [465, 1065]]"
Rich Table,"[[420, 1395]]","[[660, 1440]]","[[0, 60], [975, 1440]]","[[0, 150], [765, 1425]]","[[420, 1200]]","[[765, 825]]","[[510, 915]]"
Season 53,"[[615, 1005]]","[[1020, 1320]]","[[645, 675]]","[[480, 705]]","[[585, 750]]","[[885, 1440]]","[[480, 705], [0, 135]]"
Smyth,"[[930, 1320]]","[[510, 540]]","[[330, 765]]",[],"[[825, 855]]","[[930, 1320]]","[[435, 675]]"
Spinasse,[],"[[930, 1425]]","[[720, 1440]]","[[0, 60], [945, 1215]]","[[945, 1140]]","[[1050, 1440]]","[[945, 1140], [0, 210]]"
The French Gourmet,"[[570, 1035]]","[[345, 750]]","[[540, 1440]]","[[0, 210], [525, 1365]]","[[945, 1185]]","[[330, 1440]]","[[525, 1365], [0, 150]]"
The Polo Bar,"[[885, 900]]","[[675, 1140]]","[[1065, 1215]]","[[840, 1440]]","[[1065, 1215], [0, 720]]","[[435, 825]]",[]
The View Lounge,"[[435, 1140]]","[[660, 1035]]","[[435, 1320]]","[[360, 1215]]","[[660, 1035]]","[[375, 1350]]",[]
Umami Burger,[],"[[360, 1440]]","[[0, 210], [1005, 1185]]","[[1050, 1335]]","[[540, 1290]]",[],"[[1065, 1305]]"
Vessel Restaurant,"[[795, 1440]]","[[0, 90]]","[[435, 795]]",[],"[[885, 1260]]","[[795, 1440]]","[[0, 90], [930, 1380]]"
Zoës Kitchen,"[[510, 1440]]","[[0, 225], [825, 1215]]","[[915, 975]]",[],"[[630, 1110]]","[[510, 1440]]","[[0, 225], [585, 930]]"
BJ’s Restaurant Brewhouse,"[[0, 90]]","[[825, 1440]]","[[0, 60], [885, 1290]]","[[750, 930]]","[[405, 1440]]","[[0, 120], [930, 1200]]","[[495, 1440]]"
BRIO Tuscan Grille,[],"[[795, 1275]]","[[750, 1395]]","[[345, 435]]","[[990, 1440]]","[[0, 195], [1035, 1425]]","[[735, 1290]]"
Cafe 21,[],"[[435, 750]]","[[1050, 1440]]","[[0, 75], [870, 1440]]","[[0, 195], [555, 1215]]","[[825, 1440]]","[[0, 735]]"
City View Restaurant,"[[495, 810]]",[],"[[570, 1365]]",[],"[[825, 1395]]","[[855, 1170]]","[[900, 1065]]"
Cosmopolitan Restaurant,"[[750, 795]]","[[405, 1440]]","[[0, 225], [390, 1440]]","[[0, 90], [660, 1155]]","[[690, 1170]]","[[750, 795]]","[[660, 1155]]"
Crabby Dick’s,[],"[[840, 900]]","[[1035, 1290]]","[[960, 1260]]","[[495, 810]]","[[960, 1440]]","[[495, 810], [0, 750]]"
Fare Start,"[[795, 1215]]","[[330, 780]]","[[795, 1215]]","[[465, 1080]]","[[795, 1215]]","[[600, 1320]]",[]
Greens,"[[930, 1200]]","[[495, 780]]","[[930, 1200]]","[[570, 1245]]","[[960, 1140]]","[[840, 1440]]","[[0, 135]]"
Gringos Locos,"[[540, 1440]]","[[0, 60], [645, 1440]]","[[0, 60]]","[[360, 870]]","[[435, 585]]","[[540, 1440]]","[[0, 60], [975, 1350]]"
Harbor City Restaurant,[],"[[360, 1275]]",[],"[[765, 840]]","[[405, 945]]",[],"[[510, 1410]]"
House of Blues,"[[825, 990]]",[],"[[525, 1305]]","[[390, 720]]","[[1020, 1440]]","[[0, 720], [570, 1140]]","[[390, 720]]"
La Grotta,[],"[[630, 1005]]",[],"[[945, 1275]]","[[450, 1110]]","[[870, 1440]]","[[0, 225], [405, 1350]]"
Metropolitan Grill,"[[0, 180]]","[[1065, 1440]]","[[0, 195]]","[[615, 1260]]",[],"[[780, 1440]]","[[0, 120], [960, 1440]]"
Rainforest Cafe,"[[525, 600]]","[[990, 1305]]","[[450, 495]]","[[990, 1305]]","[[525, 600]]","[[915, 1440]]","[[0, 135], [690, 1215]]"
Rice House,[],"[[720, 1320]]","[[1020, 1215]]","[[675, 795]]","[[1020, 1215]]","[[300, 510]]","[[375, 1290]]"
Seaview Restaurant,"[[690, 870]]","[[780, 1440]]","[[0, 195], [975, 1230]]","[[690, 870]]","[[510, 1230]]","[[975, 1230]]","[[630, 690]]"
Spruce,"[[705, 1440]]","[[0, 210], [450, 1005]]","[[435, 1440]]","[[0, 60]]",[],"[[570, 1305]]","[[525, 765]]"
The House,[],"[[960, 1440]]","[[0, 720], [915, 1095]]","[[540, 750]]","[[780, 960]]","[[915, 1095]]","[[795, 1140]]"
The Inn,[],"[[705, 1440]]","[[0, 195], [705, 1440]]","[[0, 180], [330, 1440]]","[[0, 60], [765, 765]]","[[435, 1440]]","[[0, 60], [480, 1110]]"
The Kitchen,"[[990, 1185]]","[[300, 1440]]","[[0, 180], [825, 1365]]","[[525, 1425]]","[[690, 1275]]","[[525, 1425]]","[[705, 795]]"
The Melting Pot,"[[825, 1440], [0, 210]]","[[0, 90], [435, 885]]",[],"[[300, 735]]","[[345, 735]]","[[540, 990]]","[[915, 1440]]"
The Mission,[],"[[585, 1440]]","[[0, 210], [675, 780]]","[[810, 1290]]","[[855, 1440]]","[[675, 780], [0, 75]]","[[840, 1320]]"
The Saddle River Inn,"[[870, 1260]]",[],"[[765, 1440]]","[[0, 90], [705, 1440]]","[[0, 135], [1050, 1095]]","[[825, 1440]]","[[0, 105], [615, 1140]]"
Tin Roof,"[[795, 1065]]","[[780, 1185]]","[[1005, 1440]]","[[0, 120], [960, 1395]]","[[870, 1290]]","[[630, 1005]]","[[510, 870]]"
Water Grill,"[[870, 1440]]","[[0, 735], [480, 1275]]","[[705, 915]]","[[480, 1275]]","[[780, 1440]]","[[0, 90], [360, 930]]","[[945, 1140]]"
Alinea,"[[360, 585]]","[[870, 1185]]","[[585, 1440]]","[[0, 225], [480, 1080]]","[[1020, 1440]]","[[0, 120], [390, 1035]]","[[885, 1350]]"
Barley Mash,"[[930, 1440]]","[[0, 105], [375, 1440]]","[[930, 1440], [0, 210]]","[[0, 105], [465, 1440]]","[[0, 165], [960, 1215]]","[[570, 1005]]","[[540, 1140]]"
Blunch,"[[0, 720]]","[[525, 1110]]","[[735, 1440]]","[[0, 165], [405, 1215]]","[[630, 810]]","[[735, 1440]]","[[0, 150], [1065, 1440]]"
Boka,"[[810, 1050]]","[[1050, 1095]]","[[885, 1350]]","[[405, 1230]]","[[570, 1440]]","[[1050, 1095], [0, 180]]",[]
Cafe Provence,"[[300, 765]]","[[915, 1440]]","[[0, 150], [660, 1095]]","[[915, 1440]]","[[0, 150], [435, 735]]","[[915, 1440]]","[[0, 150], [330, 735]]"
Coaster Saloon,"[[885, 900]]","[[750, 1305]]","[[960, 1440]]","[[0, 105]]",[],"[[870, 1170]]","[[615, 765]]"
Coppa,"[[555, 1185]]","[[675, 1140]]","[[345, 1335]]","[[885, 1095]]","[[420, 1080]]","[[555, 1185]]","[[840, 1245]]"
Firefly Restaurant,"[[660, 1440]]","[[0, 90], [555, 645]]","[[855, 1440]]","[[0, 735], [570, 1440]]","[[555, 645], [0, 60]]","[[840, 1290]]",[]
Geronimo,"[[405, 570], [0, 750]]","[[900, 1440]]","[[0, 750], [1035, 1440]]","[[0, 90], [1020, 1440]]","[[0, 105], [630, 1095]]","[[885, 1155]]","[[900, 1440]]"
Goldfinch Tavern,"[[540, 1170]]","[[450, 1320]]","[[795, 1170]]","[[690, 1140]]","[[975, 1440]]","[[795, 1170], [0, 225]]","[[660, 840]]"
Homestyle Hawaiian,"[[315, 750]]",[],"[[510, 1125]]",[],"[[720, 1440]]","[[0, 225], [300, 1125]]","[[945, 1335]]"
Kum Den Bar & Restaurant,[],"[[660, 1440]]","[[0, 60], [1020, 1125]]","[[600, 1350]]","[[465, 615]]","[[885, 1425]]","[[465, 615]]"
Maude,[],"[[840, 1140]]","[[600, 1440]]","[[840, 1140], [0, 90]]","[[600, 1440]]","[[0, 90], [795, 975]]","[[540, 675]]"
Next,"[[720, 750], [0, 165]]","[[615, 1320]]",[],"[[735, 1080]]","[[780, 1440]]","[[0, 165], [810, 885]]","[[780, 1440]]"
Pinch Kitchen,"[[765, 1380], [0, 735]]","[[930, 1440]]","[[0, 210], [765, 1440]]","[[0, 180], [900, 1440]]","[[930, 1440], [0, 735]]","[[0, 210], [345, 1365]]","[[990, 1440]]"
Revelry Bistro,"[[570, 735]]",[],[],[],"[[345, 1200]]",[],"[[840, 1275]]"
Seven Hills,"[[705, 1440]]","[[0, 195], [840, 1245]]","[[705, 1440]]","[[0, 195], [840, 1245]]","[[540, 825]]","[[750, 1065]]",[]
Sotto,"[[795, 1335], [0, 60]]","[[855, 1155]]","[[975, 1080]]","[[855, 1155]]","[[615, 1440]]","[[0, 60], [1050, 1170]]","[[615, 1440]]"
SPIN,"[[570, 1440]]","[[0, 195], [825, 915]]","[[315, 1365]]","[[570, 1440]]","[[0, 195]]","[[480, 840]]","[[645, 765]]"
Tanta,"[[435, 675]]","[[885, 945]]","[[555, 1005]]",[],"[[975, 1440]]","[[0, 150], [315, 390]]","[[885, 945]]"
The Grove,"[[630, 660]]",[],"[[780, 1065]]","[[465, 855]]",[],"[[480, 1035]]","[[780, 1065]]"
The Old Spaghetti Factory,"[[735, 1230]]","[[615, 1155]]","[[735, 1230]]","[[780, 1440]]","[[0, 735], [990, 1440]]","[[780, 1440], [0, 105]]","[[0, 735], [765, 1065]]"
Toscana,"[[720, 1440]]","[[0, 180], [675, 765]]","[[720, 1440]]","[[0, 180], [360, 675]]","[[750, 825]]","[[675, 765]]","[[975, 1155]]"
Waterfront Restaurant,"[[540, 735], [0, 225]]","[[1050, 1440]]","[[0, 60], [690, 1440]]","[[0, 135], [540, 720]]","[[1050, 1440]]","[[0, 60], [540, 720]]","[[420, 1440]]"
World Famous,"[[1020, 1440]]","[[0, 75], [345, 1380]]",[],"[[570, 990]]","[[345, 1380]]","[[600, 1440]]","[[345, 1380], [0, 150]]"
XO Prime Steaks Pepper Pike,"[[795, 1440]]","[[0, 720], [480, 540]]","[[300, 960]]","[[510, 1365]]","[[300, 960]]","[[930, 1440]]","[[510, 1365], [0, 90]]"
Tapas 218,"[[405, 1215]]",[],"[[420, 1440]]","[[0, 225], [405, 1440]]","[[0, 60], [405, 930]]","[[405, 1215]]","[[885, 1320]]"
Lolita - A Michael Symon Restaurant,"[[435, 990]]","[[810, 1440]]","[[0, 60], [1065, 1440]]","[[0, 720], [735, 840]]","[[705, 795]]","[[675, 1005]]","[[300, 975]]"
Twiisted Bar & Grill,"[[840, 1125]]","[[375, 660]]","[[480, 1335]]","[[840, 1125]]","[[480, 1335]]","[[375, 660]]",[]
Ken Stewart's Tre Belle,"[[870, 1140], [0, 90]]",[],[],"[[405, 1200]]","[[510, 1155]]","[[495, 915]]","[[330, 1440]]"
Culinary Arts Restaurant,"[[975, 1440]]","[[0, 225], [585, 675]]","[[495, 870]]","[[975, 1440]]","[[0, 225], [1020, 1440]]","[[0, 195], [855, 1440]]","[[0, 75], [690, 1185]]"
John Palmer's Bistro 44,"[[435, 930]]","[[990, 1035]]","[[480, 1155]]","[[945, 1275]]","[[885, 930]]",[],"[[300, 585]]"
The Wooster Inn,"[[675, 1200], [0, 105]]",[],"[[960, 1380]]","[[675, 1200]]","[[390, 1230]]","[[585, 1410]]","[[1065, 1440]]"
SASA,"[[975, 1245]]","[[690, 1440]]","[[0, 150], [600, 1395]]","[[585, 1245]]","[[1005, 1410]]","[[690, 1440]]","[[0, 150], [1005, 1410]]"
Spaghetti Warehouse - Akron,"[[495, 1005]]","[[600, 1020]]",[],[],"[[390, 1440]]","[[0, 60]]","[[345, 675]]"
Bay Harbor,[],"[[405, 1125]]","[[1020, 1440]]","[[0, 195]]","[[405, 810]]",[],"[[495, 630]]"
Mentor Harbor Yachting Club,"[[1050, 1440]]","[[0, 195], [330, 375]]","[[660, 1005]]","[[585, 615]]","[[1050, 1440]]","[[0, 195], [630, 780]]","[[660, 735]]"
The Overlook,"[[600, 1110], [0, 225]]",[],"[[510, 645]]","[[1020, 1335]]","[[360, 975]]",[],"[[1035, 1440]]"
LAGO Cucina Enotecca and Birreria,[],"[[405, 1170]]","[[600, 750]]","[[345, 1440]]","[[0, 60], [1020, 1110]]",[],"[[435, 1020]]"
D'Agnese's at White Pond,"[[675, 1425]]","[[615, 690]]","[[465, 1320]]","[[735, 1440]]","[[0, 225], [795, 1425]]","[[405, 1230]]","[[465, 1320]]"
Peachtree Southern Kitchen and Cocktails,[],"[[345, 510]]","[[750, 1320]]","[[345, 510]]","[[630, 1440]]","[[345, 510], [0, 60]]","[[645, 720]]"
Skye Bistro,"[[915, 1440]]","[[0, 150], [885, 1335]]",[],"[[855, 1440]]","[[0, 720], [495, 720]]",[],"[[585, 720]]"
Crush - Sandusky,"[[795, 1440]]","[[0, 225], [930, 1290]]","[[795, 1440]]","[[0, 225], [450, 675]]","[[420, 1245]]","[[540, 975]]","[[630, 1410]]"
Nighttown,"[[840, 945]]",[],"[[945, 1260]]","[[555, 1215]]","[[840, 945]]",[],"[[780, 990]]"
North Coast Cafe,"[[1050, 1335]]","[[600, 750]]",[],[],"[[615, 765]]","[[600, 750]]","[[750, 1305]]"
D.B.A.,"[[780, 1065]]",[],"[[465, 1200]]","[[705, 1320]]","[[780, 1065]]","[[705, 1320]]","[[990, 1410]]"
Parallax Restaurant & Lounge,"[[855, 1320]]","[[750, 795]]","[[915, 1440]]","[[855, 1320], [0, 105]]","[[345, 1215]]","[[675, 1260]]","[[1050, 1275]]"
Pier W,"[[600, 1290]]","[[915, 1440]]","[[0, 60]]","[[720, 1320]]","[[960, 1440]]","[[0, 120], [375, 1440]]","[[720, 1320], [0, 210]]"
DANTE,"[[360, 1440]]","[[0, 60], [990, 1200]]",[],"[[360, 1440]]","[[0, 60], [1035, 1380]]",[],"[[510, 930]]"
Shuhei,"[[960, 1020]]","[[360, 540]]",[],"[[300, 1440]]","[[360, 540], [0, 165]]","[[1020, 1260]]",[]
Crave - Akron,[],"[[930, 1440]]","[[0, 165], [870, 1290]]","[[930, 1440]]","[[0, 165], [720, 945]]","[[450, 1245]]","[[480, 1350]]"
One Red Door,[],"[[810, 1440]]","[[0, 180]]","[[510, 810]]","[[915, 1275]]","[[810, 1440]]","[[0, 105], [315, 480]]"
